word,n,category
book,1480947,multilingual
game,978493,multilingual
love,944568,multilingual
movie,936437,multilingual
read,805541,multilingual
time,623638,multilingual
story,617894,multilingual
34,528257,multilingual
fun,493269,multilingual
app,332917,multilingual
fit,1219683,Apparel
size,1055023,Apparel
love,823681,Apparel
wear,697694,Apparel
nice,638432,Apparel
quality,638046,Apparel
shirt,576947,Apparel
fits,547451,Apparel
34,495197,Apparel
perfect,488343,Apparel
fit,532294,Automotive
product,518677,Automotive
car,398536,Automotive
easy,382460,Automotive
price,311599,Automotive
quality,283059,Automotive
install,282865,Automotive
time,275233,Automotive
perfect,253808,Automotive
34,224027,Automotive
baby,388230,Baby
love,281481,Baby
easy,234365,Baby
seat,204509,Baby
product,192548,Baby
bought,164939,Baby
time,159359,Baby
son,153954,Baby
daughter,141996,Baby
loves,136879,Baby
product,1339346,Beauty
hair,1171014,Beauty
love,844094,Beauty
skin,693650,Beauty
time,451087,Beauty
price,359338,Beauty
color,318405,Beauty
nice,302183,Beauty
buy,295737,Beauty
smell,289706,Beauty
book,503106,Books
quot,189510,Books
read,141746,Books
books,73614,Books
time,70040,Books
story,69717,Books
author,59855,Books
life,59443,Books
reading,55131,Books
people,52130,Books
camera,1073311,Camera
lens,420115,Camera
battery,284012,Camera
quality,258482,Camera
price,238338,Camera
product,231158,Camera
time,206547,Camera
easy,181652,Camera
pictures,180031,Camera
canon,177535,Camera
book,4247710,Digital_Ebook_Purchase
read,2348396,Digital_Ebook_Purchase
story,1684155,Digital_Ebook_Purchase
love,941708,Digital_Ebook_Purchase
books,876389,Digital_Ebook_Purchase
reading,814121,Digital_Ebook_Purchase
characters,812386,Digital_Ebook_Purchase
series,714527,Digital_Ebook_Purchase
author,704296,Digital_Ebook_Purchase
time,599170,Digital_Ebook_Purchase
song,550585,Digital_Music_Purchase
music,328705,Digital_Music_Purchase
love,324376,Digital_Music_Purchase
album,296000,Digital_Music_Purchase
34,194433,Digital_Music_Purchase
songs,188405,Digital_Music_Purchase
listen,106928,Digital_Music_Purchase
time,98891,Digital_Music_Purchase
heard,83821,Digital_Music_Purchase
cd,82731,Digital_Music_Purchase
software,23742,Digital_Software
product,19848,Digital_Software
program,15536,Digital_Software
version,15223,Digital_Software
download,14749,Digital_Software
quicken,13770,Digital_Software
tax,13115,Digital_Software
time,11916,Digital_Software
easy,11792,Digital_Software
34,11401,Digital_Software
movie,893560,Digital_Video_Download
love,356214,Digital_Video_Download
watch,283117,Digital_Video_Download
34,275045,Digital_Video_Download
story,270328,Digital_Video_Download
season,210186,Digital_Video_Download
series,206186,Digital_Video_Download
time,184551,Digital_Video_Download
film,169913,Digital_Video_Download
watching,150704,Digital_Video_Download
game,128859,Digital_Video_Games
play,30378,Digital_Video_Games
games,29143,Digital_Video_Games
fun,20077,Digital_Video_Games
time,19314,Digital_Video_Games
download,15177,Digital_Video_Games
buy,14440,Digital_Video_Games
code,14435,Digital_Video_Games
amazon,13948,Digital_Video_Games
love,12460,Digital_Video_Games
quality,497607,Electronics
product,444498,Electronics
tv,421884,Electronics
price,418253,Electronics
cable,401312,Electronics
time,311827,Electronics
bought,299459,Electronics
easy,259211,Electronics
buy,241727,Electronics
music,235826,Electronics
easy,138243,Furniture
chair,122706,Furniture
nice,116064,Furniture
price,114721,Furniture
bed,109810,Furniture
love,105931,Furniture
mattress,102585,Furniture
quality,102156,Furniture
table,92035,Furniture
product,88427,Furniture
gift,88788,Gift_Card
card,53336,Gift_Card
amazon,37277,Gift_Card
easy,26309,Gift_Card
cards,18318,Gift_Card
buy,11532,Gift_Card
love,11350,Gift_Card
perfect,10163,Gift_Card
purchase,9301,Gift_Card
send,8725,Gift_Card
taste,357987,Grocery
coffee,344153,Grocery
love,337699,Grocery
product,317396,Grocery
flavor,295522,Grocery
tea,250021,Grocery
price,180783,Grocery
buy,171742,Grocery
time,165580,Grocery
34,146708,Grocery
product,1321335,Health_Personal_Car
time,488407,Health_Personal_Car
love,480191,Health_Personal_Car
day,363322,Health_Personal_Car
price,360657,Health_Personal_Car
34,338199,Health_Personal_Car
recommend,304963,Health_Personal_Car
easy,277323,Health_Personal_Car
2,277053,Health_Personal_Car
bought,274154,Health_Personal_Car
water,11958,Major_Appliances
product,11014,Major_Appliances
ice,10134,Major_Appliances
unit,9953,Major_Appliances
time,9684,Major_Appliances
easy,9398,Major_Appliances
fit,8556,Major_Appliances
price,8499,Major_Appliances
dryer,7112,Major_Appliances
machine,6955,Major_Appliances
game,2796040,Mobile_Apps
app,1220255,Mobile_Apps
fun,1180262,Mobile_Apps
love,937207,Mobile_Apps
play,797988,Mobile_Apps
time,593112,Mobile_Apps
kindle,442609,Mobile_Apps
games,423292,Mobile_Apps
free,358030,Mobile_Apps
easy,345795,Mobile_Apps
product,19547,Mobile_Electronics
ipod,14764,Mobile_Electronics
price,11671,Mobile_Electronics
screen,11178,Mobile_Electronics
time,10901,Mobile_Electronics
quality,10898,Mobile_Electronics
bought,10144,Mobile_Electronics
easy,8919,Mobile_Electronics
car,8490,Mobile_Electronics
fit,8305,Mobile_Electronics
guitar,172037,Musical_Instruments
quality,126745,Musical_Instruments
price,124797,Musical_Instruments
product,97144,Musical_Instruments
nice,88281,Musical_Instruments
bought,82597,Musical_Instruments
34,79241,Musical_Instruments
time,77677,Musical_Instruments
play,70440,Musical_Instruments
strings,69554,Musical_Instruments
cd,960898,Music
music,795987,Music
album,768474,Music
songs,532262,Music
love,478601,Music
34,410699,Music
song,342241,Music
time,277873,Music
listen,203056,Music
band,191450,Music
printer,348497,Office_Products
ink,306767,Office_Products
product,300844,Office_Products
price,253261,Office_Products
quality,235483,Office_Products
time,225909,Office_Products
love,203209,Office_Products
34,184955,Office_Products
paper,182449,Office_Products
easy,182120,Office_Products
